"script","type","filename","description"
"K5.2_JN","table","K5.2_JN/K5.2_JN_main_results.csv","Päämoderointimallin regressiokertoimet (lm: Delta_Composite_Z ~ FOF_num * cComposite_Z0_plot)"
"K5.2_JN","table","JN_counts_summary.csv","JN-alueen määrälaskennan yhteenvetotaulukko"
"K5.2_JN","plot","K5.2_JN/jn_obs_plot.png","JN-alueen ero ΔComposite_Z:ssa (FOF 1 vs 0) moderaattorin funktiona"
"K5.2_JN","table","K5.2_JN/K5.2_JN_main_results.csv","Päämoderointimallin regressiokertoimet (lm: Delta_Composite_Z ~ FOF_num * cComposite_Z0_plot)"
"K5.2_JN","table","JN_counts_summary.csv","JN-alueen määrälaskennan yhteenvetotaulukko"
"K5.2_JN","plot","K5.2_JN/jn_obs_plot.png","JN-alueen ero ΔComposite_Z:ssa (FOF 1 vs 0) moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K6_main","table","K6_main_main_results.csv","K6 ANCOVA -paamallien yhteenvetotaulukko (FOF x PainVAS0_G2, SRH_3class, SRM_3class)"
"K5_main","table","K5_main_main_results.csv","Päämallien HC3-robustit kertoimet: quartile- ja JN-mallit yhdessä taulukossa"
"K5_main","table","model_quartile_robustHC3.csv","Quartile-mallin HC3-robustit kertoimet (ANCOVA, FOF x Comp_Quartile)"
"K5_main","table","model_jn_robustHC3.csv","Jatkuvan JN-mallin HC3-robustit kertoimet (FOF x cComposite_Z0)"
"K5_main","plot","discrete_lsmeans_plot.png","LS-keskiarvokuvio Delta_Composite_Z: FOF_status x Composite_Z0-kvartiilit"
"K5_main","plot","jn_slope_plot.png","Johnson–Neyman -slope-kuva: FOF-vaikutus moderaattorin funktiona"
"K6_main","table","K6_main_main_results.csv","K6 ANCOVA -paamallien yhteenvetotaulukko (FOF x PainVAS0_G2, SRH_3class, SRM_3class)"
"K6_main","table","K6_main_main_results.csv","K6 ANCOVA -paamallien yhteenvetotaulukko (FOF x PainVAS0_G2, SRH_3class, SRM_3class)"
