Parameter,FTSST_Without_FOF,HGS_Without_FOF,MWS_Without_FOF,SLS_Without_FOF,FTSST_With_FOF,HGS_With_FOF,MWS_With_FOF,SLS_With_FOF
B_Mean, 0.228561604, 0.009343105,-0.244181652, 0.044238948,-0.042667940,-0.003586242, 0.079848532,-0.031697843
B_SD,0.7256465,0.9636251,0.7703841,0.9291613,1.0585455,1.0134823,1.0255936,1.0251905
B_n, 72, 76, 72, 74,187,198,176,189
B_SE,0.08551826,0.11053538,0.09079063,0.10801281,0.07740852,0.07202505,0.07730702,0.07457164
B_CI_lower, 0.06094581,-0.20730623,-0.42213129,-0.16746616,-0.19438863,-0.14475534,-0.07167323,-0.17785825
B_CI_upper, 0.39617740, 0.22599244,-0.06623201, 0.25594405, 0.10905275, 0.13758285, 0.23137030, 0.11446257
B_Skew,-2.27298932,-0.07588868, 1.18594421, 1.36551656,-2.11875849,-0.20447358, 2.21010907, 1.85756086
B_Skew_label,Substantial nonnormality,Excellent,Generally Acceptable,Generally Acceptable,Substantial nonnormality,Excellent,Substantial nonnormality,Generally Acceptable
B_Kurtosis,10.423677, 3.477637, 4.372285, 4.738533, 8.085248, 3.147387,12.549623, 6.289936
B_Kurtosis_label,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked
Baseline_p_value,0.019744638,0.922069166,0.007245473,0.563784628,0.019744638,0.922069166,0.007245473,0.563784628
Baseline_p_value_sig,*,NA,**,NA,*,NA,**,NA
Baseline_d, 0.27733869, 0.01292957,-0.33790674, 0.07599289, 0.27733869, 0.01292957,-0.33790674, 0.07599289
Baseline_d_label,Small,Very Small,Small,Very Small,Small,Very Small,Small,Very Small
C_n, 72, 76, 72, 74,187,198,176,189
C_Mean, 1.078523e-01, 6.480413e-08, 4.820481e-01,-1.957907e-02, 1.611158e-01, 4.084508e-08,-1.091658e-01,-1.139467e-02
C_SD,6.725664e-01,1.677301e-07,1.689257e+00,5.759724e-01,1.091935e+00,1.287046e-07,1.915470e+00,5.850093e-01
C_SE,7.926271e-02,1.923996e-08,1.990808e-01,6.695544e-02,7.985017e-02,9.146637e-09,1.443840e-01,4.255316e-02
C_CI_lower,-4.750263e-02, 2.709381e-08, 9.184974e-02,-1.508117e-01, 4.609447e-03, 2.291767e-08,-3.921584e-01,-9.479886e-02
C_CI_upper,2.632072e-01,1.025144e-07,8.722465e-01,1.116536e-01,3.176221e-01,5.877249e-08,1.738267e-01,7.200953e-02
C_Skew,-1.91556677, 2.06307474,-0.21331895, 1.96357144,-0.82665241, 3.05566793,-0.48858316,-0.02578446
C_Skew_label,Generally Acceptable,Substantial nonnormality,Excellent,Generally Acceptable,Excellent,Substantial nonnormality,Excellent,Excellent
C_Kurtosis,16.364361, 5.520407, 2.618977,12.021201,10.621330,10.985601, 4.437825,10.668594
C_Kurtosis_label,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked
Change_p_value,1.779143e-01,1.196867e-03,1.801970e-02,7.707955e-01,4.505684e-02,1.343502e-05,4.506177e-01,7.891662e-01
Change_p_value_sig,NA,**,*,NA,*,***,NA,NA
Change_d, 0.16035931, 0.38635965, 0.28536109,-0.03399306, 0.14755075, 0.31735526,-0.05699169,-0.01947775
Change_d_label,Very Small,Small,Small,Very Small,Very Small,Small,Very Small,Very Small
Change_p_between,0.63642063,0.26317017,0.01744697,0.91798512,0.63642063,0.26317017,0.01744697,0.91798512
Change_p_between_sig,NA,NA,*,NA,NA,NA,*,NA
Change_d_between,-0.05358891, 0.17046460, 0.31905468,-0.01405058,-0.05358891, 0.17046460, 0.31905468,-0.01405058
Change_d_between_label,Very Small,Very Small,Small,Very Small,Very Small,Very Small,Small,Very Small
F_Mean, 0.336413886, 0.009343170, 0.237866465, 0.024659879, 0.118447840,-0.003586201,-0.029317317,-0.043092508
F_SD,0.7719055,0.9636250,1.0832968,1.0506657,1.1962257,1.0134823,1.0671469,0.9684861
F_n, 72, 76, 72, 74,187,198,176,189
F_SE,0.09096993,0.11053537,0.12766775,0.12213741,0.08747668,0.07202505,0.08043922,0.07044700
F_CI_lower, 0.15811282,-0.20730616,-0.01236233,-0.21472944,-0.05300646,-0.14475530,-0.18697819,-0.18116863
F_CI_upper,0.51471495,0.22599250,0.48809526,0.26404920,0.28990214,0.13758289,0.12834356,0.09498361
F_Skew,-2.4649642,-0.0758887, 0.1991366, 1.5367199,-3.5404121,-0.2044735, 0.6214986, 1.6610781
F_Skew_label,Substantial nonnormality,Excellent,Excellent,Generally Acceptable,Substantial nonnormality,Excellent,Excellent,Generally Acceptable
F_Kurtosis,11.107863, 3.477637, 2.683729, 4.674014,23.499475, 3.147387, 3.030787, 5.439837
F_Kurtosis_label,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked,Too peaked
Follow_up_p_value,0.0857106,0.9220690,0.0789582,0.6317012,0.0857106,0.9220690,0.0789582,0.6317012
Follow_up_p_value_sig,NA,NA,NA,NA,NA,NA,NA,NA
Follow_up_d,0.19895478,0.01292959,0.24927743,0.06828796,0.19895478,0.01292959,0.24927743,0.06828796
Follow_up_d_label,Very Small,Very Small,Small,Very Small,Very Small,Very Small,Small,Very Small
