term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),3.3765978856236023,0.4953111857692453,6.817124229446911,6.925103007394686e-11,2.4010833010075476,4.352112470239657,delta_srh_3class
FOF_status_fFOF,0.08094382522415497,0.13852364139577933,0.5843322079073012,0.5595237368390541,-0.19187826395568022,0.3537659144039902,delta_srh_3class
SRH_3classfair,-0.1427877288328953,0.134490770282004,-1.0616916576021835,0.2894002251997394,-0.40766708483327546,0.12209162716748484,delta_srh_3class
SRH_3classpoor,-0.08820845193086754,0.21363488495619057,-0.4128934838940568,0.6800385484461926,-0.5089620146307976,0.33254511076906246,delta_srh_3class
Composite_Z0,-0.12968288195418706,0.07139347713413405,-1.8164528071736707,0.07049851257798097,-0.27029222047061385,0.010926456562239728,delta_srh_3class
age,-0.03573359321237005,0.005526052218922951,-6.46638717781329,5.234485126308035e-10,-0.0466171441795002,-0.024850042245239908,delta_srh_3class
sex,-0.11992345931469932,0.11737670409891915,-1.0216972800125133,0.307911844726374,-0.35109668946259054,0.11124977083319192,delta_srh_3class
BMI,-0.01368263339024276,0.007374057109271342,-1.855509550236558,0.06470044638811522,-0.028205827019948494,8.405602394629744e-4,delta_srh_3class
FOF_status_fFOF:SRH_3classfair,-0.2267468956944288,0.17028809961945268,-1.3315486883766163,0.1842213528908993,-0.562129034313682,0.1086352429248244,delta_srh_3class
FOF_status_fFOF:SRH_3classpoor,-0.29818591708859704,0.24796007971852524,-1.2025561430174012,0.23028584288431336,-0.7865428957268134,0.19017106154961927,delta_srh_3class
