term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),3.1310898100517663,0.48774031353939845,6.419583789025561,6.664990230110646e-10,2.17055962331722,4.091619996786313,delta_srm_3class
FOF_status_fFOF,0.03045923377333964,0.15165081286232626,0.20085110787366214,0.8409757356149942,-0.26819392150932186,0.32911238905600115,delta_srm_3class
SRM_3classfair,-0.018744379089530604,0.14552046203502628,-0.12880923292436286,0.8976105337547226,-0.3053247430497682,0.26783598487070703,delta_srm_3class
SRM_3classpoor,-0.45545619942128884,0.1891348282850679,-2.408103275060561,0.016748859669315986,-0.8279284082742644,-0.08298399056831329,delta_srm_3class
Composite_Z0,-0.13829025349287924,0.07068807118219043,-1.956344984098546,0.05152035542999272,-0.2774996325983643,9.191256126058478e-4,delta_srm_3class
age,-0.033459271904199825,0.005466821189490688,-6.12042551684721,3.5172286941454082e-9,-0.04422534276654141,-0.022693201041858242,delta_srm_3class
sex,-0.048301366038363866,0.11547800083031251,-0.418273313454219,0.67610071666216,-0.27571768292296833,0.17911495084624063,delta_srm_3class
BMI,-0.01080998311112913,0.0072229974729297155,-1.496606242995749,0.1357372789984233,-0.025034575417452624,0.003414609195194365,delta_srm_3class
FOF_status_fFOF:SRM_3classfair,-0.21245381930934965,0.18092769266733977,-1.1742471048916483,0.2413958272449904,-0.5687633258213072,0.14385568720260783,delta_srm_3class
FOF_status_fFOF:SRM_3classpoor,0.022150704459582046,0.21931387382449236,0.10100001460604503,0.9196301276334643,-0.4097545334926217,0.4540559424117858,delta_srm_3class
