FOF_status_f,outcome,n,mean,sd
No FOF,Delta_Composite_Z,77,0.11038401882638889,0.5147498638628891
No FOF,Delta_FTSST,72,-1.0383333166440292,6.475072555885416
No FOF,Delta_HGS,74,0.6148648648648649,4.379706702897598
No FOF,Delta_MWS,72,-0.02805689018633567,0.45926147279314106
No FOF,Delta_SLS,74,-0.2639189668603859,7.763780210221685
FOF,Delta_Composite_Z,199,0.014647636389425319,0.6106243062331717
FOF,Delta_FTSST,187,-1.5511229280482055,10.512502574490425
FOF,Delta_HGS,195,0.24487179487179486,3.8143920836766116
FOF,Delta_MWS,175,0.030834121193204573,0.2800855443410102
FOF,Delta_SLS,189,-0.15359784875596988,7.885591425321004
