term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,outcome
(Intercept),3.402927458941624,0.4916806999390034,6.921010849853944,3.488984022390134e-11,2.4347442406186017,4.371110677264646,base,Composite
FOF_status_fFOF,-0.15004492092070368,0.07399681121720675,-2.0277214443777707,0.043608536123022415,-0.29575426204148414,-0.004335579799923245,base,Composite
Composite_Z0,-0.08587402398804299,0.07041722210102946,-1.2195031474663576,0.2237584032829092,-0.22453468878045718,0.05278664080437119,base,Composite
Age,-0.03593714953904373,0.0055162608399693825,-6.514766176148261,3.7485467760377534e-10,-0.04679938426538823,-0.025074914812699224,base,Composite
BMI,-0.01690966796903626,0.007275662876424665,-2.324141216579546,0.020888956943586955,-0.031236394033337847,-0.0025829419047346727,base,Composite
Sex_fmale,-0.11156791471351322,0.11715131540053066,-0.9523402646574796,0.34180893292611547,-0.34225408480180886,0.11911825537478239,base,Composite
(Intercept),3.6833996398577544,0.49548963908973315,7.433858045194546,1.8936975045157252e-12,2.707294202777522,4.659505076937987,extended,Composite
FOF_status_fFOF,-0.0926883015466112,0.07479554110281857,-1.2392222875852472,0.2164838316048832,-0.24003413601036153,0.05465753291713912,extended,Composite
Composite_Z0,-0.18199426107879765,0.07065188267725318,-2.575929390447678,0.010601655032607963,-0.32117716497950305,-0.04281135717809226,extended,Composite
Age,-0.02371260198631666,0.006435480739583059,-3.684666763193972,2.835472166080303e-4,-0.03639038017694099,-0.011034823795692329,extended,Composite
BMI,-0.035192356121887355,0.008623420496876005,-4.081020534095078,6.122946220122978e-5,-0.052180335222103025,-0.01820437702167169,extended,Composite
Sex_fmale,-0.12054750009211648,0.12404793491322101,-0.9717815953683284,0.3321458009341389,-0.3649196406474946,0.12382464046326161,extended,Composite
MOI_score,-0.0622340100611644,0.014947928261235045,-4.163386990728201,4.385651440653271e-5,-0.09168115264053608,-0.03278686748179271,extended,Composite
diabetes,-0.0962107847517232,0.10072766138488444,-0.9551575349704381,0.3404671816561259,-0.29464241719269213,0.10222084768924575,extended,Composite
alzheimer,0.09502963001000467,0.21355247022266857,0.444994290681435,0.6567283179716716,-0.32566479191414577,0.515724051934155,extended,Composite
parkinson,0.07932291653630005,0.21698891344011798,0.36556207079303454,0.7150165683590601,-0.34814123505350425,0.5067870681261043,extended,Composite
AVH,-0.24352491848079977,0.10277994373951813,-2.369381706395761,0.018616780302081862,-0.4459995092537773,-0.04105032770782227,extended,Composite
previous_falls,-0.00478465925171487,0.07690044023512331,-0.06221887985407835,0.9504407471706364,-0.15627710612762916,0.14670778762419942,extended,Composite
psych_score,-0.04432467512256069,0.046758074155076226,-0.9479576719852703,0.3441125211545656,-0.13643721756445232,0.04778786731933092,extended,Composite
(Intercept),14.784854294468268,3.7112186930752085,3.9838272861837654,8.8721013030996e-5,7.476036595186508,22.09367199375003,base,HGS
