term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.8635596774133304,0.17678064459538556,4.884922098739036,1.904918469235504e-6,0.5152975629858043,1.2118217918408565,age_int_ext
FOF_status_fFOF,-0.09065315287008373,0.07477532719341823,-1.2123404373155733,0.22658924547256828,-0.23796234282689915,0.056656037086731684,age_int_ext
age_c,-0.014549701521106687,0.010372445517299279,-1.4027262420265822,0.16200709113730904,-0.03498366823678894,0.005884265194575564,age_int_ext
BMI_c,-0.034139154324492355,0.008669176975803057,-3.937992547594741,1.0808071104302986e-4,-0.051217641117262014,-0.017060667531722695,age_int_ext
Sex_fmale,-0.13066179944577558,0.12430314756101399,-1.0511543915783828,0.2942582944332234,-0.3755419847097086,0.11421838581815746,age_int_ext
Composite_Z0,-0.17135515349669816,0.07124149208182881,-2.4052718224918372,0.01692796108345392,-0.3117026034348753,-0.031007703558521033,age_int_ext
MOI_score,-0.06081510651433084,0.01499257227324241,-4.056349064454334,6.768117888829917e-5,-0.09035083387032893,-0.03127937915833276,age_int_ext
diabetes,-0.09284878123497484,0.10071528545112253,-0.921893641258999,0.35752156344611896,-0.29126031178833356,0.10556274931838386,age_int_ext
alzheimer,0.10033815628694663,0.2134844432308609,0.4700021920493827,0.6387856338192848,-0.320231322725483,0.5209076352993762,age_int_ext
parkinson,0.07456099766890634,0.21690812224331332,0.34374460899748466,0.7313431220069512,-0.35275321120196923,0.5018752065397819,age_int_ext
AVH,-0.24937270005536397,0.1028533442589948,-2.4245463465671966,0.01607644737622675,-0.4519962577958858,-0.04674914231484209,age_int_ext
previous_falls,0.0013085591485149561,0.07704746026944932,0.016983806395936753,0.9864638234408265,-0.15047678752291377,0.1530939058199437,age_int_ext
psych_score,-0.04311770568690934,0.046744071865146786,-0.9224208325560673,0.35724718716810344,-0.13520464960527756,0.048969238231458864,age_int_ext
FOF_status_fFOF:age_c,-0.012896639238997485,0.011453393149687314,-1.126010350858302,0.26130004737735957,-0.035460098744473034,0.009666820266478067,age_int_ext
(Intercept),0.8866307220010201,0.176200094667659,5.031953720986045,9.59902495879659e-7,0.5395123048703534,1.2337491391316868,BMI_int_ext
FOF_status_fFOF,-0.0918443090033408,0.07512958341200007,-1.2224786140458084,0.22274102233717907,-0.23985139221659724,0.056162774209915625,BMI_int_ext
BMI_c,-0.03697601561866692,0.013989374566347515,-2.6431500167002095,0.008761655151614834,-0.06453541940490028,-0.009416611832433561,BMI_int_ext
age_c,-0.023772778398982675,0.006459358519818563,-3.680362117390324,2.8836256832960973e-4,-0.03649786977482998,-0.01104768702313537,BMI_int_ext
Sex_fmale,-0.12124864258414135,0.12437767721917928,-0.9748424741079228,0.3306323487042293,-0.36627565306414717,0.12377836789586448,BMI_int_ext
