effect,group,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,NA,(Intercept),3.1867387833899374,0.40410139534077905,7.885988071638699,238.58345846384154,1.1163790873004531e-13,2.3906764476906655,3.9828011190892094
fixed,NA,time_f12,0.13134740051751106,0.07030276924783789,1.8683104794133065,239.00000946707362,0.06294236121119808,-0.007144794940973698,0.2698395959759958
fixed,NA,FOF_statusFOF,0.041705817144535584,0.07454588394300145,0.5594650561313926,414.7336441371365,0.5761463750150022,-0.10482905803352971,0.18824069232260088
fixed,NA,frailty_score_3,-0.341749654201743,0.04031960458921014,-8.476017006704428,234.99998969233096,2.5896977855651023e-15,-0.42118371292765167,-0.2623155954758344
fixed,NA,age,-0.02752907152458887,0.004695286886883773,-5.863128747572592,234.99999084109012,1.5293511265182505e-8,-0.03677930346754017,-0.018278839581637573
fixed,NA,sexmale,-0.08446734382732603,0.09396492164437964,-0.8989242192634586,234.99998972955444,0.36961316357928975,-0.26958858150103,0.10065389384637795
fixed,NA,BMI,-0.020896043534833608,0.006049526889411247,-3.4541616091349012,234.99998898552997,6.547151600885008e-4,-0.0328142773345156,-0.008977809735151615
fixed,NA,time_f12:FOF_statusFOF,-0.17451218281481554,0.08370598146817058,-2.0848233274843597,239.00000945646272,0.038147131508788595,-0.3394078941867161,-0.009616471442914998
ran_pars,ID,sd__(Intercept),0.3092723270486386,NA,NA,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.4188770910648769,NA,NA,NA,NA,NA,NA
