"check_name","status","n_rows","n_issues","notes"
"qc_delta_check","INFO",1,NA,"cols=3"
"qc_fof_levels","PASS",1,0,"cols=8"
"qc_id_timepoint_coverage_dist","INFO",1,NA,"cols=2"
"qc_missingness_by_fof_time","INFO",4,NA,"cols=5"
"qc_missingness_overall","INFO",4,NA,"cols=4"
"qc_outcome_summary","INFO",1,NA,"cols=10"
"qc_profile","INFO",1,NA,"cols=4"
"qc_status_summary","PASS",6,0,"cols=4"
"qc_time_levels_status","PASS",1,0,"cols=8"
"qc_time_levels","INFO",2,NA,"cols=1"
"qc_types_status","PASS",1,0,"cols=3"
"qc_types","INFO",4,NA,"cols=2"
"qc_variable_standardization_conflicts","INFO",0,NA,"cols=2"
"qc_variable_standardization_renames","INFO",3,NA,"cols=2"
"qc_variable_standardization_verify_hits","INFO",0,NA,"cols=2"
