model_set,model,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
categorical,A,(Intercept),3.5074428410347007,0.4535873495788793,7.732673418452013,243.8878189433137,2.762172526492564e-13,2.613994371754546,4.400891310314855
categorical,A,time_f12,0.1313474005174636,0.07001045018072592,1.876111354496388,241.00000053243096,0.061848663212794384,-0.006563119716151394,0.26925792075107857
categorical,A,FOF_statusFOF,-0.0080590646874179,0.08085993066614094,-0.09966697499027821,395.2070215338962,0.9206592564249216,-0.1670284513057519,0.15091032193091608
categorical,A,age,-0.038964763185911654,0.005074559245368734,-7.678452709261914,240.99999701147044,4.016733727875183e-13,-0.0489609152422138,-0.02896861112960951
categorical,A,sexmale,-0.05703969090642224,0.10596381015861318,-0.5382940724860846,240.9999995534665,0.590870842312352,-0.26577316065967177,0.1516937788468273
categorical,A,BMI,-0.016508050582039923,0.0068010319794254695,-2.4272861283376104,241.0000033604128,0.015946047758038054,-0.029905105677833194,-0.003110995486246654
categorical,A,time_f12:FOF_statusFOF,-0.17451218281474795,0.08335793181555713,-2.093528222375818,241.00000064127224,0.037347493983649456,-0.3387153226685802,-0.010309042960915754
categorical,B,(Intercept),2.634206112171847,0.44360414923595837,5.938190877404714,255.9027872153284,9.353192290679322e-9,1.7606264675483752,3.507785756795319
categorical,B,time_f12,0.01428141431043856,0.15371818101831927,0.0929064747958251,241.00000239644777,0.926055048018413,-0.2885212995422739,0.317084128163151
categorical,B,frailty_cat_3Pre-frail,-0.03902086802954529,0.15007823182999921,-0.2600035165242758,408.499086529619,0.7949920569852933,-0.334042888658792,0.2560011525997014
categorical,B,frailty_cat_3Frail,-0.3246438619446355,0.15365772836235844,-2.1127727541243773,406.45111668333095,0.03522939570600078,-0.6267069372171646,-0.02258078667210639
categorical,B,age,-0.025365044677670718,0.004719540341383236,-5.374473538293043,240.9999999431035,1.8110886268826307e-7,-0.034661860539753474,-0.016068228815587962
categorical,B,sexmale,-0.11869985439364461,0.09322178239694164,-1.2733059950325392,240.99999701621945,0.20413627461599892,-0.30233336160901547,0.06493365282172622
categorical,B,BMI,-0.01797949922881153,0.006075549391515991,-2.9593207247921374,241.00000051961808,0.003390480371491834,-0.029947457942493528,-0.0060115405151295355
categorical,B,time_f12:frailty_cat_3Pre-frail,0.18229866455552984,0.16105560520260975,1.1318989135845106,241.00000239377212,0.25880191476624137,-0.1349577199103525,0.4995550490214122
categorical,B,time_f12:frailty_cat_3Frail,-0.2705251661947325,0.16389862563126684,-1.6505639699709878,241.00000240638627,0.10013019849312003,-0.5933818921141767,0.05233155972471165
categorical,C,(Intercept),2.62060790141156,0.44426025706436584,5.89881237346846,257.0727957243909,1.148945402937968e-8,1.7457551171518553,3.495460685671265
categorical,C,time_f12,0.11353695110783611,0.15969843799425093,0.7109459086376498,241.00000237267056,0.47780523888263904,-0.2010460091014019,0.42811991131707416
categorical,C,FOF_statusFOF,0.013428953351985587,0.07235415463632794,0.18560030753566584,408.92461751579424,0.8528502376913659,-0.12880355190338327,0.15566145860735442
categorical,C,frailty_cat_3Pre-frail,-0.03603983644905493,0.14972726168773717,-0.2407032362898455,406.58439408914614,0.8099064556161546,-0.3303760427978526,0.2582963698997427
categorical,C,frailty_cat_3Frail,-0.3208668953763901,0.15349353652911915,-2.090426102831494,404.3148167907551,0.03720357793804351,-0.6226119608921568,-0.01912182986062355
categorical,C,age,-0.025686799616484984,0.004716760511207295,-5.445856230235067,241.0000076894627,1.2694307678650743e-7,-0.03497813961131852,-0.016395459621651447
categorical,C,sexmale,-0.1273294992176834,0.09331750900264751,-1.3644759764651555,240.999997604116,0.1736905259622431,-0.3111515740797635,0.05649257564439669
categorical,C,BMI,-0.016986234487238985,0.006127040445657491,-2.7723392130172555,241.00000288386804,0.006000297714068057,-0.029055623173216097,-0.004916845801261871
categorical,C,time_f12:FOF_statusFOF,-0.16129024729588134,0.07774413889998334,-2.074629027705597,241.00000181822094,0.039082574892807746,-0.31443502229511666,-0.008145472296646028
categorical,C,time_f12:frailty_cat_3Pre-frail,0.19582503000262347,0.15976950607610607,1.225672124875584,241.00000222963453,0.22151847438653857,-0.11889792411010991,0.5105479841153568
categorical,C,time_f12:frailty_cat_3Frail,-0.2526330496930115,0.16268314413751833,-1.552914722864326,241.0000023143862,0.12175570323505915,-0.5730954518414375,0.06782935245541455
continuous,A,(Intercept),3.5074428410347007,0.4535873495788793,7.732673418452013,243.8878189433137,2.762172526492564e-13,2.613994371754546,4.400891310314855
continuous,A,time_f12,0.1313474005174636,0.07001045018072592,1.876111354496388,241.00000053243096,0.061848663212794384,-0.006563119716151394,0.26925792075107857
continuous,A,FOF_statusFOF,-0.0080590646874179,0.08085993066614094,-0.09966697499027821,395.2070215338962,0.9206592564249216,-0.1670284513057519,0.15091032193091608
continuous,A,age,-0.038964763185911654,0.005074559245368734,-7.678452709261914,240.99999701147044,4.016733727875183e-13,-0.0489609152422138,-0.02896861112960951
continuous,A,sexmale,-0.05703969090642224,0.10596381015861318,-0.5382940724860846,240.9999995534665,0.590870842312352,-0.26577316065967177,0.1516937788468273
continuous,A,BMI,-0.016508050582039923,0.0068010319794254695,-2.4272861283376104,241.0000033604128,0.015946047758038054,-0.029905105677833194,-0.003110995486246654
continuous,A,time_f12:FOF_statusFOF,-0.17451218281474795,0.08335793181555713,-2.093528222375818,241.00000064127224,0.037347493983649456,-0.3387153226685802,-0.010309042960915754
continuous,B,(Intercept),3.00947432621174,0.3978096213918662,7.565111964064911,245.86019212206728,7.733879161138971e-13,2.2259247414252066,3.793023910998273
continuous,B,time_f12,0.42389419088236036,0.07949729810494927,5.332183621168503,241.00000348367166,2.231890032508436e-7,0.26729594433714576,0.580492437427575
continuous,B,frailty_score_3,-0.19856159576830926,0.04685764775447365,-4.237549370995729,405.54595545942806,2.79988494425198e-5,-0.2906758010058302,-0.10644739053078832
continuous,B,age,-0.027280512177289745,0.00462990165625464,-5.892244415264389,240.99998674061098,1.2755748871527866e-8,-0.036400752721104226,-0.018160271633475267
continuous,B,sexmale,-0.07843060041941183,0.09254316211221991,-0.847502923277088,240.99999562852318,0.39755572479866386,-0.26072732325614373,0.10386612241732007
continuous,B,BMI,-0.021526465713657978,0.005920812434079662,-3.6357283655455093,240.99999385920304,3.388902468788185e-4,-0.03318961487204581,-0.009863316555270148
continuous,B,time_f12:frailty_score_3,-0.2920432873365808,0.04984603894432012,-5.858906615685231,241.00000351549332,1.5210608178824743e-8,-0.3902328168171285,-0.1938537578560331
continuous,C,(Intercept),2.9932846912634496,0.4002852892171393,7.477878333019898,247.71118695192249,1.3056876228891111e-12,2.2048880237196906,3.7816813588072087
continuous,C,time_f12,0.5182555847741797,0.09382425454946346,5.523684544713959,241.00000057813565,8.583585799040597e-8,0.33343529405995886,0.7030758754884004
continuous,C,FOF_statusFOF,0.027279736867549628,0.07241005416914616,0.37673962795036126,411.061684495228,0.7065615056441772,-0.11506045808229144,0.1696199318173907
continuous,C,frailty_score_3,-0.19867423189847902,0.046904881632884386,-4.235683472212222,403.509425593487,2.825204923205814e-5,-0.29088268389586136,-0.10646577990109671
continuous,C,age,-0.027529071524607002,0.0046364708583680365,-5.9375055652343285,240.9999888319463,1.0033268424053237e-8,-0.03666225245161997,-0.018395890597594035
continuous,C,sexmale,-0.08446734382726277,0.0927878597003175,-0.9103275374609567,240.9999990309557,0.3635593613611321,-0.26724608571513736,0.09831139806061183
continuous,C,BMI,-0.0208960435348498,0.005973746824292936,-3.49797943392472,240.99999570366876,5.581122556633666e-4,-0.03266346583021814,-0.00912862123948146
continuous,C,time_f12:FOF_statusFOF,-0.1456600222608713,0.07829535771444558,-1.8603915546578678,241.00000048542304,0.06404823636791407,-0.29989061907053804,0.008570574548795451
continuous,C,time_f12:frailty_score_3,-0.28615084460649465,0.04959316867221992,-5.769964942102696,241.0000006318432,2.4243320705641622e-8,-0.3838422560165007,-0.1884594331964886
