"section","model","term","estimate","conf.low","conf.high","p.value","statistic","df","n","note"
"model_metrics","A_frailty_cat_3","AIC",339.790274642976,,,,,,239,"smaller is better"
"model_metrics","B_frailty_cat_3_balance","AIC",346.877530335069,,,,,,239,"smaller is better"
"model_metrics","A_frailty_cat_3","adjR2",0.318753600336385,,,,,,239,"larger is better"
"model_metrics","B_frailty_cat_3_balance","adjR2",0.298249554156529,,,,,,239,"larger is better"
"qc","common_sample","N_common",239,,,,28,,276,"same N used for A and B"
"qc","balance_missingness","frailty_cat_3_balance_NA_pct",10.1449275362319,,,,,,276,"percent missing in full analysis_data"
"comparison","A_vs_B_non_nested","AIC_diff_B_minus_A",7.08725569209298,,,,,,239,"negative favors B"
"comparison","A_vs_B_non_nested","adjR2_diff_B_minus_A",-0.0205040461798568,,,,,,239,"positive favors B"
"coefficients","A_frailty_cat_3","frailty_cat_3pre-frail",-0.211205496608727,-0.385209618865631,-0.0372013743518224,0.0175788211751891,-2.3914716569784,232,239,"reference level = robust"
"coefficients","A_frailty_cat_3","frailty_cat_3frail",-0.662216705648236,-0.851268410849713,-0.47316500044676,4.86857761572658e-11,-6.9014300766604,232,239,"reference level = robust"
"coefficients","B_frailty_cat_3_balance","frailty_cat_3_balancepre-frail",-0.234354332670905,-0.388999004091434,-0.0797096612503755,0.00313174040564432,-2.98577849412698,232,239,"reference level = robust"
"coefficients","B_frailty_cat_3_balance","frailty_cat_3_balancefrail",-0.62947397917889,-0.805145318784884,-0.453802639572897,1.91726218140333e-11,-7.05986550969301,232,239,"reference level = robust"
