Outcome,dv_mode,population_mode,p_A,p_B,p_C,N_without_A,N_with_A,N_total_A,N_without_B,N_with_B,N_total_B,N_without_C,N_with_C,N_total_C,N_without,N_with,N_total,sex_stratum,model_C_includes_sex,manuscript_p_A,manuscript_p_B,manuscript_p_C,abs_diff_A,abs_diff_B,abs_diff_C,n_ref_available,overall_abs_diff
Composite,delta,all_outcomes_intersection,0.03799962666095419,0.03609731203492999,0.022657101131435726,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,followup,all_outcomes_intersection,0.20051536971011719,0.0881049206076515,0.06355384689176205,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,delta,covariate_complete,0.12394157645524424,0.12367956168724013,0.0948474076731301,75,191,266,75,191,266,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,followup,covariate_complete,0.1747453558196734,0.0643490648414186,0.04479292951047452,75,191,266,75,191,266,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,delta,per_outcome_cc,0.12394157645524424,0.12367956168724013,0.0948474076731301,75,191,266,75,191,266,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,followup,per_outcome_cc,0.1747453558196734,0.0643490648414186,0.04479292951047452,75,191,266,75,191,266,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,delta,raw,0.2242279966090861,0.22367121833757625,0.0948474076731301,77,199,276,77,199,276,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
Composite,followup,raw,0.2563856976404694,0.1230524815138141,0.04479292951047452,77,199,276,77,199,276,75,191,266,75,191,266,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,delta,all_outcomes_intersection,0.9298582513057264,0.9274009970866465,0.9256187684415798,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,followup,all_outcomes_intersection,0.17846779905105323,0.11054869069996923,0.10210915686847907,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,delta,covariate_complete,0.7400711216816371,0.7205219418452726,0.7114004612772625,71,179,250,71,179,250,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,followup,covariate_complete,0.11826430270779861,0.07079152823550121,0.06176046868392841,71,181,252,71,179,250,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,delta,per_outcome_cc,0.7400711216816371,0.7205219418452726,0.7114004612772625,71,179,250,71,179,250,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,followup,per_outcome_cc,0.12958387131160756,0.07079152823550121,0.06176046868392841,71,179,250,71,179,250,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,delta,raw,0.69953659499301,0.6767290108009436,0.7114004612772625,72,187,259,72,187,259,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
FTSST,followup,raw,0.1398002262748853,0.08882430858243547,0.06176046868392841,72,189,261,72,187,259,71,179,250,71,179,250,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,delta,all_outcomes_intersection,0.24980300067955186,0.23253228076234678,0.23020269408123267,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,followup,all_outcomes_intersection,0.42958205876469824,0.17426956669444807,0.17212843675691755,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,delta,covariate_complete,0.35576843297961025,0.33642420558492125,0.33031942888686205,72,187,259,72,187,259,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,followup,covariate_complete,0.33950339123469253,0.07467893603876903,0.07108505872708278,73,188,261,72,187,259,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,delta,per_outcome_cc,0.35576843297961025,0.33642420558492125,0.33031942888686205,72,187,259,72,187,259,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,followup,per_outcome_cc,0.31164150291537085,0.07467893603876903,0.07108505872708278,72,187,259,72,187,259,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,delta,raw,0.49620994064874857,0.4792823611581106,0.33031942888686205,74,195,269,74,195,269,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS,followup,raw,0.3461773717062613,0.07789270355268442,0.07108505872708278,75,196,271,74,195,269,72,187,259,72,187,259,all,TRUE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),delta,all_outcomes_intersection,0.4858082691328026,0.47849371363958215,0.4741280103860859,57,141,198,57,141,198,57,141,198,57,141,198,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),followup,all_outcomes_intersection,0.583578662427698,0.2989180331776836,0.29414698823873503,57,141,198,57,141,198,57,141,198,57,141,198,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),delta,covariate_complete,0.6690997495452053,0.6616781434167724,0.6552417875477718,62,173,235,62,173,235,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),followup,covariate_complete,0.5155670860556678,0.17081831776240747,0.16232621919229862,63,174,237,62,173,235,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),delta,per_outcome_cc,0.6690997495452053,0.6616781434167724,0.6552417875477718,62,173,235,62,173,235,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),followup,per_outcome_cc,0.4786079577320026,0.17081831776240747,0.16232621919229862,62,173,235,62,173,235,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),delta,raw,0.9008171536647427,0.8985438072402788,0.6552417875477718,64,181,245,64,181,245,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (female),followup,raw,0.5339103698737335,0.1890611514887632,0.16232621919229862,65,182,247,64,181,245,62,173,235,62,173,235,female,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),delta,all_outcomes_intersection,0.3055595381573422,0.24774285877072522,0.2712211959367712,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),followup,all_outcomes_intersection,0.6815970976717725,0.6721026989342089,0.687002748244461,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),delta,covariate_complete,0.3055595381573422,0.24774285877072522,0.2712211959367712,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),followup,covariate_complete,0.6815970976717725,0.6721026989342089,0.687002748244461,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),delta,per_outcome_cc,0.3055595381573422,0.24774285877072522,0.2712211959367712,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),followup,per_outcome_cc,0.6815970976717725,0.6721026989342089,0.687002748244461,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),delta,raw,0.3055595381573422,0.24774285877072522,0.2712211959367712,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
HGS (male),followup,raw,0.6815970976717725,0.6721026989342089,0.687002748244461,10,14,24,10,14,24,10,14,24,10,14,24,male,FALSE,NA,NA,NA,NA,NA,NA,0,NA
MWS,delta,all_outcomes_intersection,0.32761413464219125,0.30599885932183374,0.28495071093223323,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,0.22,NA,NA,0.10761413464219124,NA,NA,1,0.10761413464219124
MWS,followup,all_outcomes_intersection,0.03630356659969624,0.003534388164307962,0.00233280219516026,67,155,222,67,155,222,67,155,222,67,155,222,all,TRUE,0.22,NA,NA,0.18369643340030375,NA,NA,1,0.18369643340030375
MWS,delta,covariate_complete,0.3086558849860314,0.28789874700667734,0.2670572866384844,70,168,238,70,168,238,70,168,238,70,168,238,all,TRUE,0.22,NA,NA,0.08865588498603141,NA,NA,1,0.08865588498603141
