Outcome,outcome_key,field,yours,manuscript,diff,abs_diff,note
FTSST,FTSST,N_with,199,199,0,0,
FTSST,FTSST,N_without,77,77,0,0,
FTSST,FTSST,p_A,0.7,0.7,0,0,
FTSST,FTSST,p_B,0.677,0.677,0,0,
FTSST,FTSST,p_C,0.711,0.711,0,0,
FTSST,FTSST,with_baseline_mean,18.87,18.87,0,0,
FTSST,FTSST,with_baseline_sd,10.19,10.19,0,0,
FTSST,FTSST,with_delta_lcl,-3.07,-3.07,0,0,
FTSST,FTSST,with_delta_mean,-1.55,-1.55,0,0,
FTSST,FTSST,with_delta_ucl,-0.03,-0.03,0,0,
FTSST,FTSST,without_baseline_mean,16.26,16.26,0,0,
FTSST,FTSST,without_baseline_sd,6.99,6.99,0,0,
FTSST,FTSST,without_delta_lcl,-2.56,-2.56,0,0,
FTSST,FTSST,without_delta_mean,-1.04,-1.04,0,0,
FTSST,FTSST,without_delta_ucl,0.48,0.48,0,0,
HGS (female),HGS_women,N_with,199,199,0,0,
HGS (female),HGS_women,N_without,77,77,0,0,
HGS (female),HGS_women,p_A,0.901,0.901,0,0,
HGS (female),HGS_women,p_B,0.899,0.899,0,0,
HGS (female),HGS_women,p_C,0.655,0.655,0,0,
HGS (female),HGS_women,with_baseline_mean,17.59,17.59,0,0,
HGS (female),HGS_women,with_baseline_sd,6.19,6.19,0,0,
HGS (female),HGS_women,with_delta_lcl,-0.02,-0.02,0,0,
HGS (female),HGS_women,with_delta_mean,0.42,0.42,0,0,
HGS (female),HGS_women,with_delta_ucl,0.87,0.87,0,0,
HGS (female),HGS_women,without_baseline_mean,18.16,18.16,0,0,
HGS (female),HGS_women,without_baseline_sd,5.94,5.94,0,0,
HGS (female),HGS_women,without_delta_lcl,-0.53,-0.53,0,0,
HGS (female),HGS_women,without_delta_mean,0.48,0.48,0,0,
HGS (female),HGS_women,without_delta_ucl,1.5,1.5,0,0,
HGS (male),HGS_men,N_with,199,199,0,0,
HGS (male),HGS_men,N_without,77,77,0,0,
HGS (male),HGS_men,p_A,0.306,0.306,0,0,
HGS (male),HGS_men,p_B,0.248,0.248,0,0,
HGS (male),HGS_men,p_C,0.271,0.271,0,0,
HGS (male),HGS_men,with_baseline_mean,28.89,28.89,0,0,
HGS (male),HGS_men,with_baseline_sd,6.85,6.85,0,0,
HGS (male),HGS_men,with_delta_lcl,-7.39,-7.39,0,0,
HGS (male),HGS_men,with_delta_mean,-2.07,-2.07,0,0,
HGS (male),HGS_men,with_delta_ucl,3.24,3.24,0,0,
HGS (male),HGS_men,without_baseline_mean,24.1,24.1,0,0,
HGS (male),HGS_men,without_baseline_sd,5.94,5.94,0,0,
HGS (male),HGS_men,without_delta_lcl,-2.97,-2.97,0,0,
HGS (male),HGS_men,without_delta_mean,1.45,1.45,0,0,
HGS (male),HGS_men,without_delta_ucl,5.87,5.87,0,0,
MWS,MWS,N_with,199,199,0,0,
MWS,MWS,N_without,77,77,0,0,
MWS,MWS,p_A,0.22,0.22,0,0,
MWS,MWS,p_B,0.204,0.204,0,0,
MWS,MWS,p_C,0.267,0.267,0,0,
MWS,MWS,with_baseline_mean,1.12,1.12,0,0,
MWS,MWS,with_baseline_sd,0.41,0.41,0,0,
MWS,MWS,with_delta_lcl,-0.01,-0.01,0,0,
MWS,MWS,with_delta_mean,0.03,0.03,0,0,
MWS,MWS,with_delta_ucl,0.07,0.07,0,0,
MWS,MWS,without_baseline_mean,1.31,1.31,0,0,
MWS,MWS,without_baseline_sd,0.49,0.49,0,0,
MWS,MWS,without_delta_lcl,-0.14,-0.14,0,0,
MWS,MWS,without_delta_mean,-0.03,-0.03,0,0,
MWS,MWS,without_delta_ucl,0.08,0.08,0,0,
SLS,SLS,N_with,199,199,0,0,
SLS,SLS,N_without,77,77,0,0,
SLS,SLS,p_A,0.918,0.918,0,0,
SLS,SLS,p_B,0.915,0.915,0,0,
SLS,SLS,p_C,0.96,0.96,0,0,
SLS,SLS,with_baseline_mean,9.71,9.71,0,0,
SLS,SLS,with_baseline_sd,13.82,13.82,0,0,
SLS,SLS,with_delta_lcl,-1.29,-1.29,0,0,
SLS,SLS,with_delta_mean,-0.15,-0.15,0,0,
SLS,SLS,with_delta_ucl,0.98,0.98,0,0,
SLS,SLS,without_baseline_mean,10.74,10.74,0,0,
SLS,SLS,without_baseline_sd,12.52,12.52,0,0,
SLS,SLS,without_delta_lcl,-2.06,-2.06,0,0,
SLS,SLS,without_delta_mean,-0.26,-0.26,0,0,
SLS,SLS,without_delta_ucl,1.53,1.53,0,0,
