Outcome,Frailty_Mode,Balance_Included,N_without,N_with,Without_FOF_Baseline,With_FOF_Baseline,Without_FOF_Delta,With_FOF_Delta,FOF_Beta_CI,P_FOF,P_Frailty_Overall,Frailty_Contrasts,Model_N,frailty_source,fallback_used,Frailty_Score_Beta_CI
MWS,cat,FALSE,72,175,"N=72, 1.31 (0.49)","N=175, 1.12 (0.41)","N=72, -0.03, 95% CI [-0.14, 0.08]","N=175, 0.03, 95% CI [-0.01, 0.07]","-0.033 [-0.127, 0.060]",0.487,0.528,"frailty_cat_3pre-frail: b=-0.069, p=0.278 | frailty_cat_3frail: b=-0.071, p=0.330",235,K15_RData,FALSE,NA
FTSST,cat,FALSE,72,187,"N=72, 16.26 (6.99)","N=187, 18.87 (10.19)","N=72, -1.04, 95% CI [-2.56, 0.48]","N=187, -1.55, 95% CI [-3.07, -0.03]","1.313 [-1.339, 3.966]",0.333,0.962,"frailty_cat_3pre-frail: b=-0.027, p=0.988 | frailty_cat_3frail: b=0.402, p=0.851",225,K15_RData,FALSE,NA
SLS,cat,FALSE,74,189,"N=74, 10.74 (12.52)","N=189, 9.71 (13.82)","N=74, -0.26, 95% CI [-2.06, 1.53]","N=189, -0.15, 95% CI [-1.29, 0.98]","-0.687 [-2.906, 1.531]",0.544,0.885,"frailty_cat_3pre-frail: b=-0.094, p=0.951 | frailty_cat_3frail: b=-0.683, p=0.695",234,K15_RData,FALSE,NA
HGS,cat,FALSE,74,195,"N=74, 18.96 (6.24)","N=195, 18.41 (6.87)","N=74, 0.61, 95% CI [-0.40, 1.63]","N=195, 0.24, 95% CI [-0.29, 0.78]","-0.474 [-1.598, 0.650]",0.410,0.267,"frailty_cat_3pre-frail: b=0.959, p=0.216 | frailty_cat_3frail: b=1.545, p=0.108",235,K15_RData,FALSE,NA
HGS (Women),cat,FALSE,64,181,"N=64, 18.16 (5.94)","N=181, 17.59 (6.19)","N=64, 0.48, 95% CI [-0.53, 1.50]","N=181, 0.42, 95% CI [-0.02, 0.87]","-0.262 [-1.261, 0.737]",0.608,0.228,"frailty_cat_3pre-frail: b=0.292, p=0.679 | frailty_cat_3frail: b=1.317, p=0.130",211,K15_RData,FALSE,NA
HGS (Men),cat,FALSE,10,14,"N=10, 24.10 (5.94)","N=14, 28.89 (6.85)","N=10, 1.45, 95% CI [-2.97, 5.87]","N=14, -2.07, 95% CI [-7.39, 3.24]","0.171 [-7.807, 8.150]",0.967,0.780,"frailty_cat_3pre-frail: b=2.911, p=0.492 | frailty_cat_3frail: b=1.557, p=0.798",24,K15_RData,FALSE,NA
MWS,score,FALSE,72,175,"N=72, 1.31 (0.49)","N=175, 1.12 (0.41)","N=72, -0.03, 95% CI [-0.14, 0.08]","N=175, 0.03, 95% CI [-0.01, 0.07]","-0.031 [-0.124, 0.063]",0.520,0.399,NA,235,K15_RData,FALSE,"-0.028 [-0.093, 0.037]"
FTSST,score,FALSE,72,187,"N=72, 16.26 (6.99)","N=187, 18.87 (10.19)","N=72, -1.04, 95% CI [-2.56, 0.48]","N=187, -1.55, 95% CI [-3.07, -0.03]","1.290 [-1.337, 3.918]",0.337,0.747,NA,225,K15_RData,FALSE,"-0.317 [-2.241, 1.607]"
SLS,score,FALSE,74,189,"N=74, 10.74 (12.52)","N=189, 9.71 (13.82)","N=74, -0.26, 95% CI [-2.06, 1.53]","N=189, -0.15, 95% CI [-1.29, 0.98]","-0.728 [-2.918, 1.463]",0.516,0.640,NA,234,K15_RData,FALSE,"-0.370 [-1.918, 1.178]"
HGS,score,FALSE,74,195,"N=74, 18.96 (6.24)","N=195, 18.41 (6.87)","N=74, 0.61, 95% CI [-0.40, 1.63]","N=195, 0.24, 95% CI [-0.29, 0.78]","-0.502 [-1.615, 0.611]",0.377,0.165,NA,235,K15_RData,FALSE,"0.621 [-0.252, 1.494]"
HGS (Women),score,FALSE,64,181,"N=64, 18.16 (5.94)","N=181, 17.59 (6.19)","N=64, 0.48, 95% CI [-0.53, 1.50]","N=181, 0.42, 95% CI [-0.02, 0.87]","-0.222 [-1.218, 0.773]",0.662,0.136,NA,211,K15_RData,FALSE,"0.610 [-0.189, 1.408]"
HGS (Men),score,FALSE,10,14,"N=10, 24.10 (5.94)","N=14, 28.89 (6.85)","N=10, 1.45, 95% CI [-2.97, 5.87]","N=14, -2.07, 95% CI [-7.39, 3.24]","-0.754 [-7.863, 6.354]",0.838,0.817,NA,24,K15_RData,FALSE,"0.580 [-4.266, 5.426]"
