"Outcome","Frailty_Mode","Balance_Included","N_without","N_with","Without_FOF_Baseline","With_FOF_Baseline","Without_FOF_Delta","With_FOF_Delta","FOF_Beta_CI","P_FOF","P_Frailty_Overall","Frailty_Contrasts","Model_N","frailty_source","fallback_used","Frailty_Score_Beta_CI","Baseline_SD_pooled","FOF_Beta_CI_std","Frailty_Score_Beta_CI_std","Frail_vs_Robust_beta_std"
"MWS","cat",FALSE,72,175,"N=72, 1.31 (0.49)","N=175, 1.12 (0.41)","N=72, -0.03, 95% CI [-0.14, 0.08]","N=175, 0.03, 95% CI [-0.01, 0.07]","-0.028 [-0.119, 0.063]",0.547,0.015,"frailty_cat_3pre-frail: b=-0.101, p=0.082 | frailty_cat_3frail: b=-0.204, p=0.004",237,"K15_RData",FALSE,NA,0.434701,"-0.064 [-0.274, 0.145]",NA,-0.469288
"FTSST","cat",FALSE,72,187,"N=72, 16.26 (6.99)","N=187, 18.87 (10.19)","N=72, -1.04, 95% CI [-2.56, 0.48]","N=187, -1.55, 95% CI [-3.07, -0.03]","1.028 [-1.562, 3.618]",0.438,0.074,"frailty_cat_3pre-frail: b=1.461, p=0.380 | frailty_cat_3frail: b=4.187, p=0.032",227,"K15_RData",FALSE,NA,9.415316,"0.109 [-0.166, 0.384]",NA,0.444701
"SLS","cat",FALSE,74,189,"N=74, 10.74 (12.52)","N=189, 9.71 (13.82)","N=74, -0.26, 95% CI [-2.06, 1.53]","N=189, -0.15, 95% CI [-1.29, 0.98]","-0.421 [-2.584, 1.742]",0.703,0.046,"frailty_cat_3pre-frail: b=-2.151, p=0.125 | frailty_cat_3frail: b=-3.932, p=0.014",236,"K15_RData",FALSE,NA,13.469044,"-0.031 [-0.192, 0.129]",NA,-0.291929
"HGS","cat",FALSE,74,195,"N=74, 18.96 (6.24)","N=195, 18.41 (6.87)","N=74, 0.61, 95% CI [-0.40, 1.63]","N=195, 0.24, 95% CI [-0.29, 0.78]","-0.558 [-1.678, 0.561]",0.33,0.763,"frailty_cat_3pre-frail: b=-0.520, p=0.465 | frailty_cat_3frail: b=-0.449, p=0.597",237,"K15_RData",FALSE,NA,6.703636,"-0.083 [-0.250, 0.084]",NA,-0.066979
"HGS (Women)","cat",FALSE,64,181,"N=64, 18.16 (5.94)","N=181, 17.59 (6.19)","N=64, 0.48, 95% CI [-0.53, 1.50]","N=181, 0.42, 95% CI [-0.02, 0.87]","-0.359 [-1.353, 0.635]",0.48,0.803,"frailty_cat_3pre-frail: b=0.208, p=0.738 | frailty_cat_3frail: b=0.483, p=0.515",213,"K15_RData",FALSE,NA,6.126165,"-0.059 [-0.221, 0.104]",NA,0.078842
"HGS (Men)","cat",FALSE,10,14,"N=10, 24.10 (5.94)","N=14, 28.89 (6.85)","N=10, 1.45, 95% CI [-2.97, 5.87]","N=14, -2.07, 95% CI [-7.39, 3.24]","7.115 [-0.615, 14.846]",0.089,0.032,"frailty_cat_3pre-frail: b=-12.837, p=0.024 | frailty_cat_3frail: b=-18.718, p=0.010",24,"K15_RData",FALSE,NA,6.49316,"1.096 [-0.095, 2.286]",NA,-2.882726
"MWS","score",FALSE,72,175,"N=72, 1.31 (0.49)","N=175, 1.12 (0.41)","N=72, -0.03, 95% CI [-0.14, 0.08]","N=175, 0.03, 95% CI [-0.01, 0.07]","-0.029 [-0.120, 0.062]",0.539,0.008,NA,237,"K15_RData",FALSE,"-0.083 [-0.144, -0.022]",0.434701,"-0.067 [-0.276, 0.143]","-0.191 [-0.331, -0.051]",NA
"FTSST","score",FALSE,72,187,"N=72, 16.26 (6.99)","N=187, 18.87 (10.19)","N=72, -1.04, 95% CI [-2.56, 0.48]","N=187, -1.55, 95% CI [-3.07, -0.03]","1.065 [-1.523, 3.654]",0.421,0.039,NA,227,"K15_RData",FALSE,"1.846 [0.104, 3.587]",9.415316,"0.113 [-0.162, 0.388]","0.196 [0.011, 0.381]",NA
"SLS","score",FALSE,74,189,"N=74, 10.74 (12.52)","N=189, 9.71 (13.82)","N=74, -0.26, 95% CI [-2.06, 1.53]","N=189, -0.15, 95% CI [-1.29, 0.98]","-0.431 [-2.594, 1.731]",0.696,0.025,NA,236,"K15_RData",FALSE,"-1.525 [-2.853, -0.197]",13.469044,"-0.032 [-0.193, 0.129]","-0.113 [-0.212, -0.015]",NA
"HGS","score",FALSE,74,195,"N=74, 18.96 (6.24)","N=195, 18.41 (6.87)","N=74, 0.61, 95% CI [-0.40, 1.63]","N=195, 0.24, 95% CI [-0.29, 0.78]","-0.534 [-1.651, 0.583]",0.35,0.563,NA,237,"K15_RData",FALSE,"-0.218 [-0.956, 0.520]",6.703636,"-0.080 [-0.246, 0.087]","-0.033 [-0.143, 0.078]",NA
"HGS (Women)","score",FALSE,64,181,"N=64, 18.16 (5.94)","N=181, 17.59 (6.19)","N=64, 0.48, 95% CI [-0.53, 1.50]","N=181, 0.42, 95% CI [-0.02, 0.87]","-0.352 [-1.341, 0.637]",0.487,0.557,NA,213,"K15_RData",FALSE,"0.197 [-0.459, 0.853]",6.126165,"-0.057 [-0.219, 0.104]","0.032 [-0.075, 0.139]",NA
"HGS (Men)","score",FALSE,10,14,"N=10, 24.10 (5.94)","N=14, 28.89 (6.85)","N=10, 1.45, 95% CI [-2.97, 5.87]","N=14, -2.07, 95% CI [-7.39, 3.24]","6.513 [-1.554, 14.580]",0.131,0.022,NA,24,"K15_RData",FALSE,"-6.249 [-11.138, -1.361]",6.49316,"1.003 [-0.239, 2.245]","-0.962 [-1.715, -0.210]",NA
