effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),1.4817617565561785,0.2891575865380606,5.124409061150953,471.9999999867104,4.359701924559048e-7,0.9135663250892245,2.049957188023132
fixed,time_f12,0.14598336652805932,0.11380705728320656,1.282726836217043,471.99999998656966,0.20021733886874424,-0.07764780563385248,0.36961453868997113
fixed,FOF_statusFOF,0.001712886972266425,0.05582182852754115,0.030684895451271857,471.9999999899312,0.9755338075212379,-0.10797715548942474,0.1114029294339576
fixed,frailty_cat_3Pre-frail,-0.03888893279963466,0.07522581744681442,-0.5169625817244141,471.99999998982605,0.6054244283161065,-0.1867078654217612,0.10892999982249191
fixed,frailty_cat_3Frail,0.04631529941960867,0.09608231601177172,0.4820377083118423,471.99999998835324,0.6300025987889049,-0.14248670870431251,0.23511730754352989
fixed,cComposite_Z0,0.9553857704799071,0.19764112868755201,4.833942088998402,471.9999999871896,1.8136792085912168e-6,0.5670204236296432,1.343751117330171
fixed,age,-0.015068142586500159,0.0030772623728686057,-4.896606386037121,471.999999986777,1.3413565294567243e-6,-0.021114971385366735,-0.009021313787633583
fixed,sexmale,-0.060399515920665676,0.060936864835476015,-0.9911818746129928,471.9999999882271,0.32210462138990387,-0.1801406184176567,0.05934158657632533
fixed,BMI,-0.006069253033225277,0.004033131042547883,-1.5048489546204027,471.9999999938426,0.13303176754720228,-0.013994366326358733,0.0018558602599081792
fixed,Balance_problem,-0.13660863908273005,0.04326670142095221,-3.1573620034869667,471.99999998894066,0.0016939912172187555,-0.22162782317663807,-0.05158945498882203
fixed,time_f12:FOF_statusFOF,-0.1497751258090352,0.07810889118795487,-1.9175169885414012,471.99999999138356,0.05577550936859931,-0.30325930604894236,0.0037090544308719664
fixed,time_f12:frailty_cat_3Pre-frail,0.030195984292764044,0.10427934881250144,0.28956820920561815,471.9999999897115,0.7722737440361084,-0.17471321522364672,0.2351051838091748
fixed,time_f12:frailty_cat_3Frail,-0.4774550073172036,0.13343194327446836,-3.578266160263309,471.9999999844282,3.8163040962712095e-4,-0.7396491329772348,-0.21526088165717233
fixed,time_f12:cComposite_Z0,0.1494993742633375,0.2778584230176248,0.5380415415870068,471.99999998830793,0.590801976872668,-0.3964931706441591,0.6954919191708341
fixed,frailty_cat_3Pre-frail:cComposite_Z0,-0.0994709689556528,0.21361019170926876,-0.4656658381311525,471.9999999898405,0.6416695026159827,-0.5192155673841949,0.3202736294728893
fixed,frailty_cat_3Frail:cComposite_Z0,0.06755197269681822,0.2442680115100182,0.2765485839886476,471.9999999874417,0.7822478051631025,-0.4124353236947309,0.5475392690883674
fixed,time_f12:frailty_cat_3Pre-frail:cComposite_Z0,0.07373379916927537,0.30017210591100846,0.24563841115581578,471.99999998785313,0.8060689238689409,-0.5161051923454743,0.663572790684025
fixed,time_f12:frailty_cat_3Frail:cComposite_Z0,-0.7569388674918703,0.3431644090028266,-2.2057615755998623,471.999999990133,0.027881845279829377,-1.4312578496493544,-0.08261988533438613
