effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),1.2611320843385858,0.24529591679453663,5.141268149990968,475.99999998394514,3.992558280224623e-7,0.7791353636138492,1.7431288050633225
fixed,time_f12,0.5391457271582688,0.07449155103648401,7.237676215040943,475.9999999848981,1.8421755909574288e-12,0.3927727920092555,0.6855186623072821
fixed,FOF_statusFOF,-0.00370686385547122,0.04948995340011964,-0.07490134059132612,475.9999999826806,0.9403246772081792,-0.10095265399904832,0.09353892628810587
fixed,frailty_score_3,0.02838521972964354,0.03223905577901135,0.8804606414100756,475.9999999872714,0.3790541323591293,-0.03496324268182355,0.09173368214111063
fixed,cComposite_Z0,0.8707084373624062,0.10385505059642436,8.383881499860191,475.99999998130477,5.835078042178362e-16,0.6666373934073291,1.0747794813174834
fixed,age,-0.01403971009276989,0.002718205813314259,-5.165065141131284,475.9999999829811,3.540270952957722e-7,-0.019380876408921045,-0.008698543776618734
fixed,sexmale,-0.04735169121004483,0.05334973683755175,-0.8875712237199823,475.99999998289854,0.3752196853386852,-0.15218180229895673,0.05747841987886708
fixed,BMI,-0.004317588612222726,0.00352905883443857,-1.2234391135929026,475.9999999824706,0.22176918367153314,-0.011252048866075393,0.002616871641629941
fixed,Balance_problem,-0.07950773302103784,0.039354741187594716,-2.0202834683130892,475.99999998395606,0.043913569368242734,-0.15683823425918098,-0.0021772317828946813
fixed,time_f12:FOF_statusFOF,-0.10393179041663946,0.06917745746873523,-1.5023939043092391,475.9999999826038,0.13365850651650196,-0.23986274305428318,0.031999162221004254
fixed,time_f12:frailty_score_3,-0.41904075654677314,0.044619933655315414,-9.391335266964349,475.999999984836,2.460492198000801e-19,-0.5067171515796001,-0.3313643615139462
fixed,time_f12:cComposite_Z0,0.39383208785475327,0.14228853747400333,2.76784128114823,475.99999998027437,0.005862847821655548,0.11424077074108308,0.6734234049684235
fixed,frailty_score_3:cComposite_Z0,0.039926517610280154,0.0635422812950097,0.628345674668369,475.999999984715,0.5300788833405592,-0.08493153796517026,0.1647845731857306
fixed,time_f12:frailty_score_3:cComposite_Z0,-0.3762139265769314,0.08862201187872105,-4.245152176095697,475.9999999866743,2.627332148583476e-5,-0.5503526552918929,-0.20207519786196995
