effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),2.715612234808193,0.39349587649098544,6.901246994059427,244.9996592663414,4.383478423346654e-11,1.940545793774265,3.490678675842121
fixed,time_f12,0.43832238944016005,0.09475029498144044,4.626079417758204,238.00000295253795,6.121577706351304e-6,0.2516660584210426,0.6249787204592775
fixed,FOF_statusFOF,0.04020403443298434,0.0693727354958673,0.5795365303906661,399.7898039671676,0.5625536256819575,-0.09617690016816485,0.17658496903413354
fixed,frailty_cat_3Pre-frail,-0.05645575453666112,0.0883240312089569,-0.6391890605977681,401.86717778452913,0.5230641079188258,-0.23009060939185788,0.11717910031853562
fixed,frailty_cat_3Frail,-0.20005106071862241,0.09797074259478487,-2.0419469672292903,390.79993738961343,0.04182768790678314,-0.39266671392968855,-0.0074354075075563075
fixed,age,-0.027825100009497013,0.004394385937172453,-6.331965468513433,238.00002601628853,1.1953515251389577e-9,-0.03648195913451674,-0.01916824088447729
fixed,sexmale,-0.0628170366761769,0.08900386634403448,-0.7057787403680271,237.99999691458913,0.48101599161418684,-0.23815300944229323,0.11251893608993944
fixed,BMI,-0.0108247504863807,0.0057685340359224825,-1.8765167057993526,238.00000364934388,0.06180803299909922,-0.02218865598872231,5.391550159609092e-4
fixed,Balance_problem,-0.241784521841224,0.06410768025272587,-3.7715375269867653,237.999996621388,2.04772305356018e-4,-0.3680754678492678,-0.1154935758331802
fixed,time_f12:FOF_statusFOF,-0.11471564630765217,0.07363928304336048,-1.5578050405529478,238.00000297534712,0.12060819471766163,-0.2597836737416316,0.030352381126327224
fixed,time_f12:frailty_cat_3Pre-frail,-0.21051632706571638,0.09434554504836418,-2.2313329893616047,238.00000297109298,0.026591173510533157,-0.3963753081925716,-0.02465734593886118
fixed,time_f12:frailty_cat_3Frail,-0.7547270809969516,0.1011596910312044,-7.460749170973085,238.0000029797305,1.605289996014593e-12,-0.9540098038486293,-0.5554443581452739
