effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),3.198744406267618,0.40698883101462635,7.859538548743765,242.8046110196517,1.2524020292106075e-13,2.397064998910177,4.0004238136250585
fixed,time_f12,0.31445749283128177,0.09704642975257814,3.2402788400665288,236.00001302724166,0.0013661831191545642,0.12326953841821817,0.5056454472443453
fixed,FOF_statusFOF,0.025817379196408193,0.07512190155733657,0.3436731320852302,410.6590340827324,0.731268007227756,-0.12185406221173953,0.17348882060455592
fixed,frailty_score_3,-0.15502734327091222,0.052444396416441295,-2.9560325576044044,406.03765028075105,0.003297994523837756,-0.2581237771889084,-0.05193090935291607
fixed,age,-0.029991848688463687,0.004661206981360995,-6.434352477457795,235.9999942777619,6.840942671437502e-10,-0.03917473805903879,-0.020808959317888585
fixed,sexmale,-0.08943112532602997,0.09517097829102712,-0.939689041049415,235.9999855266326,0.348337861663621,-0.27692431509374915,0.09806206444168923
fixed,BMI,-0.016273823462031666,0.0061992895301795446,-2.625111052291881,235.99998837797614,0.009227935811221043,-0.02848683828132132,-0.0040608086427420115
fixed,Balance_problem,-0.3424885946993928,0.06561297661477113,-5.2198301672887375,235.99998556776413,3.92436222235993e-7,-0.47175054510226055,-0.21322664429652502
fixed,time_f12:FOF_statusFOF,-0.19353119330120055,0.08321345676089081,-2.3257199115919622,236.00001303455457,0.020881897752217205,-0.35746726615121127,-0.029595120451189866
fixed,time_f12:frailty_score_3,-0.15477162564615896,0.05730348967632975,-2.7009110007150263,236.0000130068112,0.007416257352876265,-0.26766333119250785,-0.04187992009981009
