model_set,framework,N,key_term,estimate,std_error,p_value,AIC,delta_AIC_vs_primary,notes
primary,LMM,472,time:capacity_score_latent_primary,NA,NA,NA,687.0402973541898,0,K42 aggregate extraction
primary,LMM,472,time:frailty_index_fi_k40_z,NA,NA,NA,687.0402973541898,0,K42 aggregate extraction
primary,LMM,472,time:fof_statusFOF,-0.01035044602383851,0.00676446309832198,0.12732609021568989,687.0402973541898,0,K42 aggregate extraction
capacity,LMM,472,time:capacity_score_latent_primary,0.01647998425360244,0.00156940022228234,2.05479025719209e-21,522.9607836859857,-164.07951366820407,K42 aggregate extraction
capacity,LMM,472,time:frailty_index_fi_k40_z,NA,NA,NA,522.9607836859857,-164.07951366820407,K42 aggregate extraction
capacity,LMM,472,time:fof_statusFOF,-0.00242231018719339,0.00563529759301226,0.6676998751305043,522.9607836859857,-164.07951366820407,K42 aggregate extraction
fi,LMM,472,time:capacity_score_latent_primary,NA,NA,NA,629.8321637690691,-57.20813358512066,K42 aggregate extraction
fi,LMM,472,time:frailty_index_fi_k40_z,-0.02059203109805321,0.0030965324468832,2.0178766708925934e-10,629.8321637690691,-57.20813358512066,K42 aggregate extraction
fi,LMM,472,time:fof_statusFOF,-0.00894951647719351,0.00621137083590735,0.1509587220878668,629.8321637690691,-57.20813358512066,K42 aggregate extraction
both,LMM,472,time:capacity_score_latent_primary,0.01409236227160253,0.00168257256492447,4.92746508096925e-15,513.6299524094688,-173.41034494472092,K42 aggregate extraction
both,LMM,472,time:frailty_index_fi_k40_z,-0.01023996293720578,0.00298649555873637,7.154271703025889e-4,513.6299524094688,-173.41034494472092,K42 aggregate extraction
both,LMM,472,time:fof_statusFOF,-0.00287428803556993,0.00550155123536823,0.601846798285517,513.6299524094688,-173.41034494472092,K42 aggregate extraction
primary,ANCOVA,236,capacity_score_latent_primary,NA,NA,NA,384.07299064109986,0,K42 aggregate extraction
primary,ANCOVA,236,frailty_index_fi_k40_z,NA,NA,NA,384.07299064109986,0,K42 aggregate extraction
primary,ANCOVA,236,fof_statusFOF,-0.15366567135800685,0.07856463609229371,0.05170199258350076,384.07299064109986,0,K42 aggregate extraction
capacity,ANCOVA,236,capacity_score_latent_primary,0.20493586668288488,0.01974070083532191,6.764031515374096e-21,294.05027857920084,-90.02271206189903,K42 aggregate extraction
capacity,ANCOVA,236,frailty_index_fi_k40_z,NA,NA,NA,294.05027857920084,-90.02271206189903,K42 aggregate extraction
capacity,ANCOVA,236,fof_statusFOF,-0.0451867817455493,0.06562815992348195,0.49182693216213513,294.05027857920084,-90.02271206189903,K42 aggregate extraction
fi,ANCOVA,236,capacity_score_latent_primary,NA,NA,NA,354.2140084731499,-29.85898216794999,K42 aggregate extraction
fi,ANCOVA,236,frailty_index_fi_k40_z,-0.22963257044180355,0.04017884883280358,3.4393493422074067e-08,354.2140084731499,-29.85898216794999,K42 aggregate extraction
fi,ANCOVA,236,fof_statusFOF,-0.10898747360077926,0.07401299029240356,0.14226497271392344,354.2140084731499,-29.85898216794999,K42 aggregate extraction
both,ANCOVA,236,capacity_score_latent_primary,0.1831944418896365,0.02140684103183248,1.8082668349319658e-15,289.71350882606237,-94.3594818150375,K42 aggregate extraction
both,ANCOVA,236,frailty_index_fi_k40_z,-0.09491196276930128,0.03835570153924555,0.01408042763635867,289.71350882606237,-94.3594818150375,K42 aggregate extraction
both,ANCOVA,236,fof_statusFOF,-0.03822875279760773,0.06495759060019754,0.5567745378001667,289.71350882606237,-94.3594818150375,K42 aggregate extraction
both,MICE_sensitivity,NA,time:capacity_score_latent_primary,0.01326981937151777,0.00165735788624536,1.1865268185431216e-15,NA,NA,pooled_vs_complete_case_delta=-0.0008; direction_consistent=TRUE
both,MICE_sensitivity,NA,time:fof_statusFOF,0.00178789941458737,0.0053965176109596,0.7404132652806894,NA,NA,pooled_vs_complete_case_delta=0.0047; direction_consistent=FALSE
both,MICE_sensitivity,NA,time:frailty_index_fi_k40_z,-0.00706904432441179,0.00295739243339303,0.01683574486596642,NA,NA,pooled_vs_complete_case_delta=0.0032; direction_consistent=TRUE
