"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.25989413146726,0.519562549814498,6.27430543758621,1.48962529069995e-09,2.23673316807463,4.28305509485988
"FOF_status1",-0.110095220088263,0.157517769524916,-0.698938414505978,0.485225017699364,-0.420290850770482,0.200100410593956
"Comp_QuartileQ2",0.09960628339238,0.186752867842365,0.533358788773493,0.594247982791139,-0.268161263067909,0.467373829852669
"Comp_QuartileQ3_Q4_Strongest",0.142029366059661,0.190719704957748,0.744702106639303,0.457134906794758,-0.233549969156468,0.51760870127579
"Age",-0.0351244480398286,0.00560986259487874,-6.26119578613098,1.60236377917159e-09,-0.0461718039724793,-0.0240770921071778
"Sex1",-0.122634401884114,0.118249991988304,-1.03707746463309,0.300678339373587,-0.355501023558676,0.110232219790449
"BMI",-0.0175240936170259,0.00738153079815375,-2.37404599346913,0.0183325368831289,-0.0320603494835194,-0.00298783775053242
"Composite_Z0",-0.192476171410952,0.117792132408645,-1.63403248990528,0.103481161446853,-0.424441142170163,0.039488799348259
"FOF_status1:Comp_QuartileQ2",-0.152968894361492,0.212130989736321,-0.721105834426324,0.471502417136045,-0.570712913636047,0.264775124913063
"FOF_status1:Comp_QuartileQ3_Q4_Strongest",0.0054613814920315,0.187713234198107,0.0290942805144348,0.976812065613346,-0.364197389357123,0.375120152341186
