metric,value,unit,branch,source_object,model_frame,extraction_rule,inclusion_rule,source_file,status,discrepancy_note
source_analytic_cohort_unique_participants,535,participants,shared,wide_source_df after prepare_k50_person_dedup,not model frame,n_distinct(id),locked K50 WIDE source after person dedup; non-missing id,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Resolves 527 vs 535 as 535 in current locked K50 source; 527 is historical/non-current source-level count.
valid_baseline_fof_unique_participants,472,participants,shared,dedup_valid_fof,not model frame,n_distinct(id) where FOF_status not NA,locked K50 WIDE source after person dedup; valid baseline FOF_status,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Resolves 472 vs 486 as 472 in the current locked K50 source; 486 is historical and not reproduced here.
current_source_valid_baseline_fof_unique_ids,472,participants,shared,wide_raw_norm,not model frame,n_distinct(id) where FOF_status not NA,current locked K50 WIDE source before person dedup,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,QC_ONLY,Current locked source gives 472; historical 486 is not reproduced from this source.
current_source_fof_yes,328,participants,shared,wide_raw_norm,not model frame,count FOF_status == FOF,current locked K50 WIDE source before person dedup,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,QC_ONLY,Current locked source gives 328; historical 340 is not reproduced from this source.
current_source_fof_no,144,participants,shared,wide_raw_norm,not model frame,count FOF_status == No FOF,current locked K50 WIDE source before person dedup,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,QC_ONLY,Current locked source gives 144; historical 146 is not reproduced from this source.
valid_baseline_fof_yes_participants,328,participants,shared,dedup_valid_fof,not model frame,count FOF_status == FOF,locked K50 WIDE source after person dedup,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Candidate 328 after person dedup.
valid_baseline_fof_no_participants,144,participants,shared,dedup_valid_fof,not model frame,count FOF_status == No FOF,locked K50 WIDE source after person dedup,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Candidate 144 after person dedup.
wide_unique_participants,230,participants,wide,wide_model_frame,locomotor_capacity_12m ~ locomotor_capacity_0 + FOF_status + age + sex + BMI,n_distinct(id),"complete baseline/follow-up locomotor_capacity, FOF_status, age, sex, BMI",/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,WIDE N=230 is verified from reconstructed locked ANCOVA model.frame.
wide_fof_yes_participants,161,participants,wide,wide_model_frame,locomotor_capacity_12m ~ locomotor_capacity_0 + FOF_status + age + sex + BMI,count FOF_status == FOF,WIDE ANCOVA model.frame,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Confirms WIDE FOF yes=161.
wide_fof_no_participants,69,participants,wide,wide_model_frame,locomotor_capacity_12m ~ locomotor_capacity_0 + FOF_status + age + sex + BMI,count FOF_status == No FOF,WIDE ANCOVA model.frame,/data/data/com.termux/files/home/FOF_LOCAL_DATA/paper_02/analysis/fof_analysis_k50_wide.rds,PASS,Confirms WIDE FOF no=69.
long_unique_participants,400,participants,long,long_model_df,saved primary LONG merMod model.frame,n_distinct(id),saved model.frame rows from primary LONG mixed model,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,LONG participant N is not inferred from observations.
long_observations,630,observations,long,long_model_df,saved primary LONG merMod model.frame,nrow(model.frame),saved model.frame rows from primary LONG mixed model,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,Resolves 630 as model-frame observation rows.
long_fof_yes_participants,276,participants,long,long_model_df,saved primary LONG merMod model.frame,"distinct(id, FOF_status) then count",saved LONG model.frame,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,Unique participants with FOF in LONG model.frame.
long_fof_no_participants,124,participants,long,long_model_df,saved primary LONG merMod model.frame,"distinct(id, FOF_status) then count",saved LONG model.frame,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,Unique participants without FOF in LONG model.frame.
long_fof_yes_observations,437,observations,long,long_model_df,saved primary LONG merMod model.frame,count rows by FOF_status,saved LONG model.frame,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,Observation rows with FOF in LONG model.frame.
long_fof_no_observations,193,observations,long,long_model_df,saved primary LONG merMod model.frame,count rows by FOF_status,saved LONG model.frame,/data/data/com.termux/files/home/Python-R-Scripts/Fear-of-Falling/R-scripts/K50/outputs/k50_long_locomotor_capacity_model_frame_primary.rds,PASS,Observation rows without FOF in LONG model.frame.
