"key","value","unit","source"
"source_n",535,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"valid_fof_n",472,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"valid_fof_yes",328,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"valid_fof_no",144,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"wide_n",230,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"wide_yes",161,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"wide_no",69,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"long_participants",400,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"long_yes",276,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"long_no",124,"participants","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
"long_observations",630,"observations","R-scripts/K50/outputs/FIG1_count_provenance/k50_fig1_count_provenance.csv"
