count,value,denominator,pct,unit
N_RAW_ROWS,1102,,,rows
N_RAW_ID,551,,,participants
EX_ID_MISSING,0,1102,0,rows
N_VALID_ID,551,1102,50,participants
EX_FOF_MISSING_OR_INVALID,65,551,11.796733212341199,participants
N_WITH_FOF,486,551,88.2032667876588,participants
EX_BRANCH_STRUCTURE,0,486,0,participants
EX_TIME_MISSING_OR_INVALID,0,486,0,participants
N_BRANCH_ELIGIBLE,486,486,100,participants
EX_OUTCOME_MISSING_PRIMARY,237,486,48.76543209876543,participants
N_OUTCOME_COMPLETE,249,486,51.23456790123457,participants
EX_COVARIATE_MISSING_PRIMARY,10,249,4.016064257028113,participants
EX_FI22_MISSING_SENS,4,249,1.606425702811245,participants
N_ANALYTIC_PRIMARY,239,249,95.9839357429719,participants
FOF_YES_ANALYTIC,169,239,70.7112970711297,participants
FOF_NO_ANALYTIC,70,239,29.288702928870293,participants
