placeholder,value
GRAPH_TITLE,Fear-of-Falling paper_01 analytic cohort derivation
PRIMARY_BRANCH,LONG
PRIMARY_OUTCOME,locomotor_capacity
N_RAW_ROWS,1102
N_RAW_ID,551
EX_ID_MISSING,0
EX_ID_MISSING_PCT,0.0
N_VALID_ID,551
N_VALID_ID_PCT,50.0
EX_FOF_MISSING_OR_INVALID,65
EX_FOF_MISSING_OR_INVALID_PCT,11.8
N_WITH_FOF,486
N_WITH_FOF_PCT,88.2
EX_BRANCH_STRUCTURE,0
EX_BRANCH_STRUCTURE_PCT,0.0
EX_TIME_MISSING_OR_INVALID,0
N_BRANCH_ELIGIBLE,486
N_BRANCH_ELIGIBLE_PCT,100.0
EX_OUTCOME_MISSING_PRIMARY,237
EX_OUTCOME_MISSING_PRIMARY_PCT,48.8
N_OUTCOME_COMPLETE,249
N_OUTCOME_COMPLETE_PCT,51.2
EX_COVARIATE_MISSING_PRIMARY,10
EX_COVARIATE_MISSING_PRIMARY_PCT,4.0
N_ANALYTIC_PRIMARY,239
N_ANALYTIC_PRIMARY_PCT,96.0
FOF_YES_ANALYTIC,169
FOF_YES_ANALYTIC_PCT,70.7
FOF_NO_ANALYTIC,70
FOF_NO_ANALYTIC_PCT,29.3
FI22_NOTE,FI22 optional sensitivity only; excluded for FI22 completeness if enabled: 4
MISS_F0_T0_N,146
MISS_F0_T0_OUT,16
MISS_F0_T0_AGE,0
MISS_F0_T0_SEX,0
MISS_F0_T0_BMI,5
MISS_F1_T0_N,340
MISS_F1_T0_OUT,56
MISS_F1_T0_AGE,0
MISS_F1_T0_SEX,1
MISS_F1_T0_BMI,17
MISS_F0_T12_N,146
MISS_F0_T12_OUT,74
MISS_F0_T12_AGE,0
MISS_F0_T12_SEX,0
MISS_F0_T12_BMI,5
MISS_F1_T12_N,340
MISS_F1_T12_OUT,146
MISS_F1_T12_AGE,0
MISS_F1_T12_SEX,1
MISS_F1_T12_BMI,17
