model_id,outcome,subgroup,term,sumsq,df,statistic,p.value
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),(Intercept),4.522737302324451,1,19.52126350709324,1.494543703159477e-5
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),FOF_status,0.20531505824623508,1,0.8861910577780064,0.34743885258762885
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),G_MWS1,16.57189770011535,1,71.52844841337122,2.4907838251830338e-15
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),Composite0,0.3215280180126925,1,1.3877952100630144,0.2399207751639165
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),Age,4.67472620325487,1,20.17728555455802,1.0881196843712936e-5
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),Sex,0.4898693831935006,1,2.114398576380446,0.14719920095802108
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),FOF_status:G_MWS1,0.05530131498257873,1,0.23869428399231804,0.6255877797422076
MWS1_Composite,Composite PBT,MWS1 (<1.0 vs >=1.0 m/s),Residuals,56.762239732426245,245,NA,NA
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),(Intercept),2.5379217691599827,1,25.122087270369608,1.0451856808014659e-6
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),FOF_status,0.0013474138253926071,1,0.01333762455649666,0.9081543977713259
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),G_MWS1,0.3948577060014564,1,3.908571915055444,0.04918498689702017
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),kavelynopeus_m_sek0,2.8906209062790147,1,28.613344806578496,2.059504872786508e-7
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),Age,1.5244663406019363,1,15.090211571816448,1.3259775703866543e-4
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),Sex,0.18666911667119024,1,1.847778720637482,0.17531782497092085
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),FOF_status:G_MWS1,0.0011840617700933365,1,0.011720654073446348,0.9138783437516758
MWS1_MWS,maximal walking speed,MWS1 (<1.0 vs >=1.0 m/s),Residuals,24.245645596367456,240,NA,NA
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),(Intercept),3.476502968883807,1,15.399900253434163,1.1306391386245794e-4
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),FOF_status,0.5051763332213426,1,2.2377846967586783,0.13596082015255748
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),G_MWS2,19.600452622695265,1,86.82432260616818,7.15826422596041e-18
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),Composite0,0.9540922942492358,1,4.226352255561517,0.04086071043805081
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),Age,2.8239475488645667,1,12.509268929923273,4.841823727445444e-4
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),Sex,0.4312877298206672,1,1.9104796052858837,0.1681687953878616
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),FOF_status:G_MWS2,0.002884955929687294,1,0.012779518369576472,0.9100862379669075
MWS2_Composite,Composite PBT,MWS2 (<1.3 vs >=1.3 m/s),Residuals,55.308360012695196,245,NA,NA
MWS2_MWS,maximal walking speed,MWS2 (<1.3 vs >=1.3 m/s),(Intercept),2.541584183748366,1,25.804410626188,7.592137283868683e-7
MWS2_MWS,maximal walking speed,MWS2 (<1.3 vs >=1.3 m/s),FOF_status,0.010371901718990273,1,0.10530472004140722,0.745836966736161
MWS2_MWS,maximal walking speed,MWS2 (<1.3 vs >=1.3 m/s),G_MWS2,0.9233455156296486,1,9.374620359817172,0.0024506408361805246
MWS2_MWS,maximal walking speed,MWS2 (<1.3 vs >=1.3 m/s),kavelynopeus_m_sek0,3.6242732075034887,1,36.7968272174182,5.064808655077924e-9
MWS2_MWS,maximal walking speed,MWS2 (<1.3 vs >=1.3 m/s),Age,1.1216954659070097,1,11.388444492564352,8.616814578363831e-4
