moderator_type,G,FOF_status,n,mean_delta,sd_delta,outcome,subgroup
MWS,<1.3 m/s,non-FOF,44,-0.1581248158194785,0.38703955178353894,Composite PBT,MWS at baseline (<1.3 vs ≥1.3 m/s)
MWS,≥1.3 m/s,non-FOF,30,0.5125094789701201,0.43848360949994686,Composite PBT,MWS at baseline (<1.3 vs ≥1.3 m/s)
MWS,<1.3 m/s,FOF,121,-0.2622701407541052,0.5629192983031714,Composite PBT,MWS at baseline (<1.3 vs ≥1.3 m/s)
MWS,≥1.3 m/s,FOF,57,0.48621966173512887,0.4046957035248136,Composite PBT,MWS at baseline (<1.3 vs ≥1.3 m/s)
SLS,<5 s,non-FOF,37,-0.027731942955241246,0.4540100340422635,Composite PBT,SLS at baseline
SLS,5–<10 s,non-FOF,7,-0.17484671303204186,0.5380706513705046,Composite PBT,SLS at baseline
SLS,≥10 s,non-FOF,31,0.3377380689395769,0.5196248529646016,Composite PBT,SLS at baseline
SLS,<5 s,FOF,110,-0.19634670495817613,0.5944932278126416,Composite PBT,SLS at baseline
SLS,5–<10 s,FOF,20,-0.005770443566143933,0.5968177072929589,Composite PBT,SLS at baseline
SLS,≥10 s,FOF,61,0.3222561236470939,0.4636594352558575,Composite PBT,SLS at baseline
FTSST,slowest (worst),non-FOF,22,-0.1747630043801943,0.40309052743141,Composite PBT,FTSST at baseline
FTSST,intermediate,non-FOF,26,0.013611611339281246,0.5366152116373184,Composite PBT,FTSST at baseline
FTSST,fastest (best),non-FOF,29,0.41346391900603124,0.4153466133144081,Composite PBT,FTSST at baseline
FTSST,slowest (worst),FOF,68,-0.1701332600034006,0.7082438495832825,Composite PBT,FTSST at baseline
FTSST,intermediate,FOF,64,-0.07614524084056046,0.5428512972779317,Composite PBT,FTSST at baseline
FTSST,fastest (best),FOF,64,0.31185846345033497,0.42928579379916715,Composite PBT,FTSST at baseline
