variable,FOF_status,n,mean,sd
DeltaComposite,non-FOF,77,0.11038401882638889,0.5147498638628891
DeltaComposite,FOF,199,0.014647636389425319,0.6106243062331717
Delta_HGS,non-FOF,74,0.6148648648648649,4.379706702897598
Delta_HGS,FOF,195,0.24487179487179486,3.8143920836766116
Delta_MWS,non-FOF,72,-0.02805689018633567,0.45926147279314106
Delta_MWS,FOF,175,0.030834121193204573,0.2800855443410102
Delta_FTSST,non-FOF,72,-1.0383333166440292,6.475072555885416
Delta_FTSST,FOF,187,-1.5511229280482055,10.512502574490425
Delta_SLS,non-FOF,74,-0.2639189668603859,7.763780210221685
Delta_SLS,FOF,189,-0.15359784875596988,7.885591425321004
