"term","estimate","std_error","statistic","p_value","model"
"(Intercept)",3.17499625867059,0.551406214956278,5.75799868146633,2.42088279194917e-08,"quartile (FOF x Comp_Quartile + kovariaatit)"
"FOF_status1",-0.0930964234953831,0.183593034402585,-0.507080368262992,0.612533244464683,"quartile (FOF x Comp_Quartile + kovariaatit)"
"Comp_QuartileQ2",0.0285635139652513,0.181319071821929,0.157531768049768,0.874949469353363,"quartile (FOF x Comp_Quartile + kovariaatit)"
"Comp_QuartileQ3_Q4_Strongest",-0.0178304380087166,0.171929033806505,-0.10370812662615,0.917481860168308,"quartile (FOF x Comp_Quartile + kovariaatit)"
"Age",-0.0334364151604039,0.00565497210961616,-5.91274625449451,1.06686712005704e-08,"quartile (FOF x Comp_Quartile + kovariaatit)"
"Sex1",-0.113008180394054,0.182303016949983,-0.619891992380243,0.535878116578033,"quartile (FOF x Comp_Quartile + kovariaatit)"
"BMI",-0.0157435033579097,0.00711346337770483,-2.213198061475,0.0277628160826891,"quartile (FOF x Comp_Quartile + kovariaatit)"
"FOF_status1:Comp_QuartileQ2",-0.157610266922027,0.223035010879296,-0.706661551927038,0.480417015542772,"quartile (FOF x Comp_Quartile + kovariaatit)"
"FOF_status1:Comp_QuartileQ3_Q4_Strongest",-0.031258152624283,0.207117248295423,-0.150920084548911,0.880157146301018,"quartile (FOF x Comp_Quartile + kovariaatit)"
"(Intercept)",3.38193385800475,0.546292113739814,6.19070598484877,2.33359294049724e-09,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"FOF_status1",-0.149099158141132,0.0755545912255146,-1.97339639752801,0.0495134143860227,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"cComposite_Z0",-0.0533700575895946,0.143364440336956,-0.372268447211571,0.709997408524123,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"Age",-0.0356867951602175,0.00594550062900052,-6.00231963413596,6.53591208255558e-09,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"Sex1",-0.10946355278704,0.177765968990549,-0.615773386822196,0.5385848392549,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"BMI",-0.0169426194597493,0.00708918114459367,-2.38992615849153,0.0175672188030764,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
"FOF_status1:cComposite_Z0",-0.0406838610487489,0.161910374563458,-0.251273960414461,0.801801550643724,"continuous JN (FOF x cComposite_Z0 + kovariaatit)"
