source_dataset,source_dataset_redacted,source_name_redaction_reason,identifier_like_filename,source_file_sha256_prefix1mb,variable,dtype,role_guess,missing_rate_sample,nunique_sample,variable_en,standard_name_en,description_en,description_fi,units,coding,notes
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,Unnamed: 0,object,,0.125198,552.0,unnamed_0,unnamed_0,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,Unnamed: 1,object,,0.846276,91.0,unnamed_1,unnamed_1,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,1.,object,,0.141046,542.0,1,1,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,2.,object,,0.141046,45.0,2,2,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,3.,object,,0.142631,3.0,3,3,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,4.,object,,0.141046,3.0,4,4,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,5.,object,,0.142631,3.0,5,5,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,6.,object,,0.142631,3.0,6,6,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,7.,object,,0.141046,3.0,7,7,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,8.,object,,0.141046,8.0,8,8,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,9.,object,,0.141046,19.0,9,9,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,10.,object,,0.141046,4.0,10,10,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,11.,object,,0.142631,7.0,11,11,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,12.,object,,0.141046,5.0,12,12,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,13.,object,,0.141046,84.0,13,13,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,14.,object,,0.141046,83.0,14,14,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,15.,object,,0.142631,427.0,15,15,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,16.,object,,0.142631,6.0,16,16,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,17.,object,,0.141046,6.0,17,17,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,18.,object,,0.141046,5.0,18,18,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,19.,object,,0.141046,6.0,19,19,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,20.,object,,0.141046,5.0,20,20,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,21.,object,,0.141046,5.0,21,21,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,22.,object,,0.141046,7.0,22,22,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,23.,object,,0.141046,5.0,23,23,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,24.,object,,0.141046,5.0,24,24,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,25.,object,,0.144216,5.0,25,25,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,26.,object,,0.141046,5.0,26,26,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,27.,object,,0.141046,4.0,27,27,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,28.,object,,0.141046,5.0,28,28,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,29.,object,,0.144216,4.0,29,29,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,30.,object,,0.141046,6.0,30,30,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,31.,object,,0.142631,5.0,31,31,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,32.,object,,0.142631,4.0,32,32,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,33.,object,,0.142631,23.0,33,33,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,34.,object,,0.141046,5.0,34,34,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,35.,object,,0.142631,36.0,35,35,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,36.,object,,0.141046,4.0,36,36,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,37.,object,,0.141046,13.0,37,37,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,38.,object,,0.141046,22.0,38,38,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,39.,object,,0.141046,70.0,39,39,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,40.,object,,0.141046,115.0,40,40,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,41.,object,,0.141046,106.0,41,41,Inferred from name/role: Variable requiring domain confirmation.,,,,
KAAOS_data.xlsx,KAAOS_data.xlsx,,0,f8f1cc6b7ca69f1e1026d99972eae74c1fb701dc8b44994cbd36e1b5d9a2e9c9,42.,object,,0.141046,242.0,42,42,Inferred from name/role: Variable requiring domain confirmation.,,,,
